@relation trebam

@attribute cluster {cluster0,cluster1,cluster2,cluster3}
@attribute entrada1 numeric
@attribute entrada2 numeric
@attribute entrada3 numeric
@attribute entrada4 numeric
@attribute entrada5 numeric
@attribute saida1 numeric
@attribute saida2 numeric
@attribute saida3 numeric
@attribute saida4 numeric
@attribute saida5 numeric
@attribute coberturaArcs numeric
@attribute coberturaNos numeric
@attribute coberturaPU numeric
@attribute coberturaPDU numeric
@attribute coberturaPUDU numeric
@attribute nroMutantesMortos numeric
@attribute SBRC numeric
@attribute SBRn numeric
@attribute SCRB numeric
@attribute SCRn numeric
@attribute SDWD numeric
@attribute SGLR numeric
@attribute SMTC numeric
@attribute SMTT numeric
@attribute SMVB numeric
@attribute SRSR numeric
@attribute SSDL numeric
@attribute SSWM numeric
@attribute STRI numeric
@attribute STRP numeric
@attribute SWDD numeric
@attribute OAAA numeric
@attribute OAAN numeric
@attribute OABA numeric
@attribute OABN numeric
@attribute OAEA numeric
@attribute OALN numeric
@attribute OARN numeric
@attribute OASA numeric
@attribute OASN numeric
@attribute OBAA numeric
@attribute OBAN numeric
@attribute OBBA numeric
@attribute OBBN numeric
@attribute OBEA numeric
@attribute OBLN numeric
@attribute OBNG numeric
@attribute OBRN numeric
@attribute OBSA numeric
@attribute OBSN numeric
@attribute OCOR numeric
@attribute OEAA numeric
@attribute OEBA numeric
@attribute OESA numeric
@attribute Oido numeric
@attribute OIPM numeric
@attribute OCNG numeric
@attribute OLAN numeric
@attribute OLBN numeric
@attribute OLLN numeric
@attribute OLNG numeric
@attribute OLRN numeric
@attribute OLSN numeric
@attribute ORAN numeric
@attribute ORBN numeric
@attribute ORLN numeric
@attribute ORRN numeric
@attribute ORSN numeric
@attribute OSAA numeric
@attribute OSAN numeric
@attribute OSBA numeric
@attribute OSBN numeric
@attribute OSEA numeric
@attribute OSLN numeric
@attribute OSRN numeric
@attribute OSSN numeric
@attribute OSSA numeric
@attribute Varr numeric
@attribute VDTR numeric
@attribute Vprr numeric
@attribute VSCR numeric
@attribute Vsrr numeric
@attribute Vtrr numeric
@attribute VTWD numeric
@attribute Cccr numeric
@attribute Ccsr numeric
@attribute CRCR numeric

@data
cluster3,8808,8808,8808,8808,8808,8808,8808,8808,8808,8808,83.333333,92.857143,52.604169,40.833333,41.423613,412,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,85.71428571428571,88.0,56.00000000000001,0.0,50.0,88.0,0.0,0.0,50.0,0.0,50.0,0.0,50.0,50.0,0.0,37.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,27.77777777777778,45.83333333333333,100.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,46.666666666666664,70.0,32.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.33333333333333,0.0,0.0,45.67307692307692,0.0,34.0,50.0,37.333333333333336,42.66666666666667
cluster2,140,2911,2941,4984,9112,9112,4984,2941,2911,140,100.0,100.0,70.337301,57.499999,59.156746,777,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,0.0,0.0,68.75,0.0,75.0,0.0,100.0,100.0,0.0,62.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.66666666666666,88.88888888888889,100.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,76.0,73.33333333333333,100.0,72.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,0.0,0.0,98.5576923076923,0.0,74.0,90.0,97.33333333333334,97.33333333333334
cluster0,9956,6721,5033,4804,1494,9956,6721,5033,4804,1494,83.333333,92.857143,52.604169,40.833333,41.423613,537,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,85.71428571428571,88.0,64.0,0.0,50.0,88.0,0.0,0.0,62.5,0.0,66.66666666666666,0.0,75.0,75.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.666666666666664,44.44444444444444,62.5,100.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,66.66666666666666,90.0,44.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.33333333333333,0.0,0.0,58.17307692307693,0.0,52.0,50.0,65.33333333333333,72.0
cluster1,2114,2395,8039,271,4761,8039,4761,2395,2114,271,100.0,100.0,71.388888,59.999996,62.728173,754,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,100.0,96.0,0.0,100.0,100.0,0.0,0.0,68.75,0.0,75.0,0.0,100.0,100.0,0.0,87.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.33333333333333,83.33333333333334,87.5,100.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,76.0,73.33333333333333,100.0,72.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,0.0,0.0,93.75,0.0,78.0,90.0,92.0,90.66666666666666
cluster0,9822,9668,9272,5736,4876,9822,9668,9272,5736,4876,83.333333,92.857143,52.604169,40.833333,41.423613,538,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,85.71428571428571,88.0,64.0,0.0,50.0,88.0,0.0,0.0,62.5,0.0,66.66666666666666,0.0,75.0,75.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.666666666666664,47.22222222222222,62.5,100.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,66.66666666666666,90.0,44.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.33333333333333,0.0,0.0,58.17307692307693,0.0,52.0,50.0,65.33333333333333,72.0
cluster2,657,2673,3888,5610,9737,9737,5610,3888,2673,657,100.0,100.0,70.337301,57.499999,59.156746,777,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,0.0,0.0,68.75,0.0,75.0,0.0,100.0,100.0,0.0,62.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.66666666666666,88.88888888888889,100.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,76.0,73.33333333333333,100.0,72.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,0.0,0.0,98.5576923076923,0.0,74.0,90.0,97.33333333333334,97.33333333333334
cluster0,7368,5081,4546,2971,1241,7368,5081,4546,2971,1241,83.333333,92.857143,52.604169,40.833333,41.423613,538,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,85.71428571428571,88.0,64.0,0.0,50.0,88.0,0.0,0.0,62.5,0.0,66.66666666666666,0.0,75.0,75.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.666666666666664,47.22222222222222,62.5,100.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,66.66666666666666,90.0,44.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.33333333333333,0.0,0.0,58.17307692307693,0.0,52.0,50.0,65.33333333333333,72.0
cluster1,2242,1123,780,6351,5349,6351,5349,2242,1123,780,100.0,100.0,71.388888,59.999996,62.728173,750,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,100.0,96.0,0.0,100.0,100.0,0.0,0.0,68.75,0.0,75.0,0.0,100.0,100.0,0.0,87.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.33333333333333,80.55555555555556,87.5,100.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,76.0,73.33333333333333,100.0,72.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,0.0,0.0,92.78846153846155,0.0,76.0,90.0,92.0,90.66666666666666
cluster3,7152,7152,7152,7152,7152,7152,7152,7152,7152,7152,83.333333,92.857143,52.604169,40.833333,41.423613,412,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,85.71428571428571,88.0,56.00000000000001,0.0,50.0,88.0,0.0,0.0,50.0,0.0,50.0,0.0,50.0,50.0,0.0,37.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,27.77777777777778,45.83333333333333,100.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,46.666666666666664,70.0,32.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.33333333333333,0.0,0.0,45.67307692307692,0.0,34.0,50.0,37.333333333333336,42.66666666666667
cluster1,3835,6994,6486,5570,2084,6994,6486,5570,3835,2084,100.0,100.0,62.162697,48.333332,47.549605,761,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,85.71428571428571,100.0,96.0,0.0,100.0,100.0,0.0,0.0,68.75,0.0,75.0,0.0,100.0,100.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,83.33333333333334,87.5,100.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,76.0,73.33333333333333,100.0,72.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,0.0,0.0,93.75,0.0,76.0,85.0,97.33333333333334,98.66666666666667
cluster2,626,6164,8501,9663,9740,9740,9663,8501,6164,626,100.0,100.0,70.337301,57.499999,59.156746,777,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,0.0,0.0,68.75,0.0,75.0,0.0,100.0,100.0,0.0,62.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.66666666666666,88.88888888888889,100.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,76.0,73.33333333333333,100.0,72.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,0.0,0.0,98.5576923076923,0.0,74.0,90.0,97.33333333333334,97.33333333333334
cluster2,103,4020,5525,8572,8914,8914,8572,5525,4020,103,100.0,100.0,70.337301,57.499999,59.156746,777,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,0.0,0.0,68.75,0.0,75.0,0.0,100.0,100.0,0.0,62.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.66666666666666,88.88888888888889,100.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,76.0,73.33333333333333,100.0,72.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,0.0,0.0,98.5576923076923,0.0,74.0,90.0,97.33333333333334,97.33333333333334
cluster0,9857,9854,4246,3170,1802,9857,9854,4246,3170,1802,83.333333,92.857143,52.604169,40.833333,41.423613,538,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,85.71428571428571,88.0,64.0,0.0,50.0,88.0,0.0,0.0,62.5,0.0,66.66666666666666,0.0,75.0,75.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.666666666666664,47.22222222222222,62.5,100.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,66.66666666666666,90.0,44.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.33333333333333,0.0,0.0,58.17307692307693,0.0,52.0,50.0,65.33333333333333,72.0
cluster2,2616,3446,4540,6536,7072,7072,6536,4540,3446,2616,100.0,100.0,70.337301,57.499999,59.156746,777,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,0.0,0.0,68.75,0.0,75.0,0.0,100.0,100.0,0.0,62.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.66666666666666,88.88888888888889,100.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,76.0,73.33333333333333,100.0,72.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,0.0,0.0,98.5576923076923,0.0,74.0,90.0,97.33333333333334,97.33333333333334
cluster2,159,654,830,6581,9023,9023,6581,830,654,159,100.0,100.0,70.337301,57.499999,59.156746,775,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,0.0,0.0,68.75,0.0,75.0,0.0,100.0,100.0,0.0,62.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.66666666666666,86.11111111111111,100.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,76.0,73.33333333333333,100.0,72.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,0.0,0.0,98.07692307692307,0.0,74.0,90.0,97.33333333333334,97.33333333333334
cluster0,9916,8455,5232,5048,2338,9916,8455,5232,5048,2338,83.333333,92.857143,52.604169,40.833333,41.423613,538,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,85.71428571428571,88.0,64.0,0.0,50.0,88.0,0.0,0.0,62.5,0.0,66.66666666666666,0.0,75.0,75.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.666666666666664,47.22222222222222,62.5,100.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,66.66666666666666,90.0,44.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.33333333333333,0.0,0.0,58.17307692307693,0.0,52.0,50.0,65.33333333333333,72.0
cluster3,2908,2908,2908,2908,2908,2908,2908,2908,2908,2908,83.333333,92.857143,52.604169,40.833333,41.423613,412,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,85.71428571428571,88.0,56.00000000000001,0.0,50.0,88.0,0.0,0.0,50.0,0.0,50.0,0.0,50.0,50.0,0.0,37.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,27.77777777777778,45.83333333333333,100.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,46.666666666666664,70.0,32.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.33333333333333,0.0,0.0,45.67307692307692,0.0,34.0,50.0,37.333333333333336,42.66666666666667
cluster1,3052,4170,3234,5019,90,5019,4170,3234,3052,90,100.0,100.0,70.0248,50.0,52.237105,733,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,100.0,92.0,0.0,100.0,100.0,0.0,0.0,68.75,0.0,66.66666666666666,0.0,75.0,87.5,0.0,62.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.0,75.0,87.5,100.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,76.0,73.33333333333333,100.0,72.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,0.0,0.0,90.38461538461539,0.0,68.0,85.0,94.66666666666667,96.0
cluster3,1559,1559,1559,1559,1559,1559,1559,1559,1559,1559,83.333333,92.857143,52.604169,40.833333,41.423613,406,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,85.71428571428571,88.0,56.00000000000001,0.0,50.0,88.0,0.0,0.0,50.0,0.0,50.0,0.0,50.0,50.0,0.0,37.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,25.0,45.83333333333333,100.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,46.666666666666664,70.0,32.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.33333333333333,0.0,0.0,43.269230769230774,0.0,34.0,50.0,37.333333333333336,42.66666666666667
cluster3,5356,5356,5356,5356,5356,5356,5356,5356,5356,5356,83.333333,92.857143,52.604169,40.833333,41.423613,412,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,85.71428571428571,88.0,56.00000000000001,0.0,50.0,88.0,0.0,0.0,50.0,0.0,50.0,0.0,50.0,50.0,0.0,37.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,27.77777777777778,45.83333333333333,100.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,46.666666666666664,70.0,32.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.33333333333333,0.0,0.0,45.67307692307692,0.0,34.0,50.0,37.333333333333336,42.66666666666667
cluster0,9707,8612,8089,6573,112,9707,8612,8089,6573,112,83.333333,92.857143,52.604169,40.833333,41.423613,538,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,85.71428571428571,88.0,64.0,0.0,50.0,88.0,0.0,0.0,62.5,0.0,66.66666666666666,0.0,75.0,75.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.666666666666664,47.22222222222222,62.5,100.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,66.66666666666666,90.0,44.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.33333333333333,0.0,0.0,58.17307692307693,0.0,52.0,50.0,65.33333333333333,72.0
